#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 950  40
# Band-Index:    1
   4.89916    -45.998044    -45.998028
   4.91154    -45.998087    -45.998072
   4.92392    -45.998130    -45.998114
   4.93630    -45.998170    -45.998155
   4.94868    -45.998209    -45.998194
   4.96106    -45.998246    -45.998230
   4.97344    -45.998280    -45.998265
   4.98582    -45.998313    -45.998298
   4.99820    -45.998344    -45.998329
   5.01058    -45.998372    -45.998357
   5.02296    -45.998398    -45.998383
   5.03534    -45.998421    -45.998406
   5.04772    -45.998442    -45.998427
   5.06010    -45.998460    -45.998445
   5.07248    -45.998477    -45.998462
   5.08486    -45.998491    -45.998476
   5.09724    -45.998503    -45.998487
   5.10962    -45.998512    -45.998496
   5.12200    -45.998518    -45.998503
   5.13438    -45.998522    -45.998507
   5.14676    -45.998524    -45.998509
   5.14676    -45.998524    -45.998509
   5.15541    -45.998524    -45.998509
   5.16405    -45.998523    -45.998508
   5.17269    -45.998523    -45.998508
   5.18134    -45.998523    -45.998508
   5.18998    -45.998524    -45.998508
   5.19863    -45.998523    -45.998508
   5.20727    -45.998522    -45.998507
   5.21591    -45.998522    -45.998507
   5.22456    -45.998521    -45.998506
   5.23320    -45.998521    -45.998506
   5.24184    -45.998521    -45.998506
   5.25049    -45.998521    -45.998505
   5.25913    -45.998521    -45.998505
   5.26777    -45.998520    -45.998505
   5.27642    -45.998520    -45.998505
   5.28506    -45.998519    -45.998504
   5.29370    -45.998518    -45.998503
   5.30235    -45.998518    -45.998503
   5.31099    -45.998518    -45.998502
   5.31963    -45.998518    -45.998502
   5.32828    -45.998517    -45.998502
   5.33692    -45.998517    -45.998502
   5.34557    -45.998517    -45.998501
   5.35421    -45.998516    -45.998501
   5.36285    -45.998516    -45.998501
   5.37150    -45.998516    -45.998500
   5.38014    -45.998515    -45.998500
   5.38878    -45.998515    -45.998499
   5.39743    -45.998515    -45.998499
   5.40607    -45.998514    -45.998499
   5.41471    -45.998514    -45.998499
   5.42336    -45.998513    -45.998498
   5.43200    -45.998512    -45.998497
   5.44064    -45.998512    -45.998497
   5.44929    -45.998512    -45.998497
   5.45793    -45.998512    -45.998497
   5.46657    -45.998512    -45.998496
   5.47522    -45.998511    -45.998496
   5.48386    -45.998511    -45.998495
   5.49250    -45.998510    -45.998495
   5.50115    -45.998510    -45.998495
   5.50979    -45.998510    -45.998495
   5.51844    -45.998509    -45.998494
   5.52708    -45.998509    -45.998494
   5.53572    -45.998509    -45.998493
   5.54437    -45.998508    -45.998493
   5.55301    -45.998508    -45.998493
   5.56165    -45.998508    -45.998492
   5.57030    -45.998507    -45.998492
   5.57030    -45.998507    -45.998492
   5.58268    -45.998506    -45.998491
   5.59506    -45.998503    -45.998487
   5.60744    -45.998496    -45.998481
   5.61982    -45.998488    -45.998472
   5.63220    -45.998476    -45.998461
   5.64458    -45.998463    -45.998447
   5.65696    -45.998446    -45.998431
   5.66934    -45.998428    -45.998413
   5.68172    -45.998407    -45.998392
   5.69410    -45.998383    -45.998368
   5.70648    -45.998357    -45.998342
   5.71886    -45.998329    -45.998314
   5.73124    -45.998299    -45.998284
   5.74362    -45.998267    -45.998252
   5.75600    -45.998233    -45.998218
   5.76838    -45.998196    -45.998181
   5.78076    -45.998158    -45.998143
   5.79314    -45.998118    -45.998103
   5.80552    -45.998075    -45.998060
   5.81790    -45.998032    -45.998016
   5.83028    -45.997986    -45.997971
   5.84266    -45.997939    -45.997924
   5.85504    -45.997891    -45.997876
   5.86742    -45.997841    -45.997826
   5.87980    -45.997790    -45.997775
   5.89218    -45.997738    -45.997723
   5.90456    -45.997685    -45.997670
   5.91694    -45.997631    -45.997616
   5.92932    -45.997577    -45.997561
   5.94170    -45.997521    -45.997506
   5.95408    -45.997465    -45.997450
   5.96646    -45.997408    -45.997393
   5.97884    -45.997351    -45.997336
   5.99122    -45.997293    -45.997278
   6.00360    -45.997236    -45.997220
   6.01598    -45.997178    -45.997163
   6.02836    -45.997121    -45.997105
   6.04074    -45.997063    -45.997048
   6.05312    -45.997006    -45.996991
   6.06550    -45.996949    -45.996934
   6.07788    -45.996893    -45.996878
   6.09026    -45.996837    -45.996822
   6.10264    -45.996781    -45.996766
   6.11502    -45.996726    -45.996711
   6.12740    -45.996672    -45.996657
   6.13978    -45.996619    -45.996604
   6.15216    -45.996566    -45.996551
   6.16454    -45.996515    -45.996500
   6.17692    -45.996466    -45.996451
   6.17692    -45.996466    -45.996451
   6.18930    -45.996515    -45.996500
   6.20168    -45.996566    -45.996551
   6.21406    -45.996619    -45.996604
   6.22644    -45.996672    -45.996657
   6.23882    -45.996726    -45.996711
   6.25120    -45.996781    -45.996766
   6.26358    -45.996837    -45.996822
   6.27596    -45.996893    -45.996878
   6.28834    -45.996949    -45.996934
   6.30072    -45.997006    -45.996991
   6.31310    -45.997063    -45.997048
   6.32548    -45.997121    -45.997105
   6.33786    -45.997178    -45.997163
   6.35024    -45.997236    -45.997220
   6.36262    -45.997293    -45.997278
   6.37500    -45.997351    -45.997336
   6.38738    -45.997408    -45.997393
   6.39977    -45.997465    -45.997450
   6.41215    -45.997521    -45.997506
   6.42453    -45.997577    -45.997561
   6.43691    -45.997631    -45.997616
   6.44929    -45.997685    -45.997670
   6.46167    -45.997738    -45.997723
   6.47405    -45.997790    -45.997775
   6.48643    -45.997841    -45.997826
   6.49881    -45.997891    -45.997876
   6.51119    -45.997939    -45.997924
   6.52357    -45.997986    -45.997971
   6.53595    -45.998032    -45.998016
   6.54833    -45.998075    -45.998060
   6.56071    -45.998118    -45.998103
   6.57309    -45.998158    -45.998143
   6.58547    -45.998196    -45.998181
   6.59785    -45.998233    -45.998218
   6.61023    -45.998267    -45.998252
   6.62261    -45.998299    -45.998284
   6.63499    -45.998329    -45.998314
   6.64737    -45.998358    -45.998342
   6.65975    -45.998383    -45.998368
   6.67213    -45.998407    -45.998392
   6.68451    -45.998428    -45.998413
   6.69689    -45.998446    -45.998431
   6.70927    -45.998463    -45.998447
   6.72165    -45.998476    -45.998461
   6.73403    -45.998488    -45.998472
   6.74641    -45.998496    -45.998481
   6.75879    -45.998503    -45.998487
   6.77117    -45.998506    -45.998491
   6.78355    -45.998507    -45.998492
   6.78355    -45.998507    -45.998492
   6.80027    -45.998505    -45.998490
   6.81699    -45.998497    -45.998482
   6.83371    -45.998484    -45.998469
   6.85043    -45.998465    -45.998450
   6.86715    -45.998442    -45.998427
   6.88386    -45.998414    -45.998399
   6.90058    -45.998380    -45.998365
   6.91730    -45.998342    -45.998327
   6.93402    -45.998299    -45.998284
   6.95074    -45.998252    -45.998237
   6.96746    -45.998201    -45.998186
   6.98418    -45.998144    -45.998129
   7.00090    -45.998085    -45.998070
   7.01762    -45.998022    -45.998007
   7.03434    -45.997956    -45.997940
   7.05106    -45.997886    -45.997871
   7.06778    -45.997814    -45.997799
   7.08450    -45.997740    -45.997725
   7.10121    -45.997664    -45.997649
   7.11793    -45.997586    -45.997571
   7.13465    -45.997505    -45.997490
   7.15137    -45.997423    -45.997408
   7.16809    -45.997340    -45.997325
   7.18481    -45.997257    -45.997242
   7.20153    -45.997175    -45.997160
   7.21825    -45.997093    -45.997078
   7.23497    -45.997011    -45.996996
   7.25169    -45.996930    -45.996915
   7.26841    -45.996850    -45.996835
   7.28513    -45.996772    -45.996757
   7.30185    -45.996697    -45.996681
   7.31856    -45.996621    -45.996606
   7.33528    -45.996548    -45.996533
   7.35200    -45.996478    -45.996463
   7.36872    -45.996412    -45.996397
   7.38544    -45.996349    -45.996334
   7.40216    -45.996289    -45.996274
   7.41888    -45.996234    -45.996219
   7.43560    -45.996184    -45.996168
   7.45232    -45.996136    -45.996121
   7.46904    -45.996093    -45.996078
   7.48576    -45.996054    -45.996039
   7.50248    -45.996020    -45.996005
   7.51920    -45.995992    -45.995977
   7.53591    -45.995968    -45.995953
   7.55263    -45.995950    -45.995935
   7.56935    -45.995937    -45.995921
   7.58607    -45.995930    -45.995915
   7.60279    -45.995927    -45.995912
   7.60279    -45.995927    -45.995912
   7.61054    -45.995928    -45.995912
   7.61830    -45.995928    -45.995913
   7.62605    -45.995929    -45.995914
   7.63380    -45.995931    -45.995916
   7.64155    -45.995933    -45.995918
   7.64930    -45.995936    -45.995921
   7.65705    -45.995939    -45.995924
   7.66481    -45.995943    -45.995928
   7.67256    -45.995947    -45.995932
   7.68031    -45.995952    -45.995937
   7.68806    -45.995958    -45.995942
   7.69581    -45.995964    -45.995948
   7.70356    -45.995970    -45.995955
   7.71132    -45.995977    -45.995962
   7.71907    -45.995985    -45.995969
   7.72682    -45.995993    -45.995978
   7.73457    -45.996001    -45.995986
   7.74232    -45.996010    -45.995995
   7.75008    -45.996019    -45.996004
   7.75783    -45.996029    -45.996014
   7.76558    -45.996039    -45.996024
   7.77333    -45.996050    -45.996035
   7.78108    -45.996061    -45.996046
   7.78883    -45.996072    -45.996057
   7.79659    -45.996084    -45.996069
   7.80434    -45.996097    -45.996081
   7.81209    -45.996109    -45.996094
   7.81984    -45.996123    -45.996107
   7.82759    -45.996136    -45.996121
   7.83534    -45.996150    -45.996135
   7.84310    -45.996164    -45.996149
   7.85085    -45.996179    -45.996164
   7.85860    -45.996194    -45.996179
   7.86635    -45.996210    -45.996194
   7.87410    -45.996225    -45.996210
   7.88186    -45.996241    -45.996226
   7.88961    -45.996258    -45.996242
   7.89736    -45.996274    -45.996259
   7.90511    -45.996290    -45.996275
   7.91286    -45.996307    -45.996292
   7.92061    -45.996324    -45.996308
   7.92837    -45.996340    -45.996325
   7.93612    -45.996358    -45.996342
   7.94387    -45.996375    -45.996360
   7.95162    -45.996393    -45.996377
   7.95937    -45.996411    -45.996395
   7.96712    -45.996429    -45.996414
   7.97488    -45.996447    -45.996432
   7.98263    -45.996466    -45.996451
   7.98263    -45.996466    -45.996451
   7.99038    -45.996447    -45.996432
   7.99813    -45.996429    -45.996414
   8.00588    -45.996411    -45.996395
   8.01364    -45.996393    -45.996377
   8.02139    -45.996375    -45.996360
   8.02914    -45.996358    -45.996342
   8.03689    -45.996340    -45.996325
   8.04464    -45.996324    -45.996308
   8.05239    -45.996307    -45.996292
   8.06015    -45.996290    -45.996275
   8.06790    -45.996274    -45.996259
   8.07565    -45.996258    -45.996242
   8.08340    -45.996241    -45.996226
   8.09115    -45.996225    -45.996210
   8.09890    -45.996210    -45.996194
   8.10666    -45.996194    -45.996179
   8.11441    -45.996179    -45.996164
   8.12216    -45.996164    -45.996149
   8.12991    -45.996150    -45.996135
   8.13766    -45.996136    -45.996121
   8.14542    -45.996123    -45.996107
   8.15317    -45.996109    -45.996094
   8.16092    -45.996097    -45.996081
   8.16867    -45.996084    -45.996069
   8.17642    -45.996072    -45.996057
   8.18417    -45.996061    -45.996046
   8.19193    -45.996050    -45.996035
   8.19968    -45.996039    -45.996024
   8.20743    -45.996029    -45.996014
   8.21518    -45.996019    -45.996004
   8.22293    -45.996010    -45.995995
   8.23068    -45.996001    -45.995986
   8.23844    -45.995993    -45.995978
   8.24619    -45.995985    -45.995969
   8.25394    -45.995977    -45.995962
   8.26169    -45.995970    -45.995955
   8.26944    -45.995964    -45.995948
   8.27720    -45.995958    -45.995942
   8.28495    -45.995952    -45.995937
   8.29270    -45.995947    -45.995932
   8.30045    -45.995943    -45.995928
   8.30820    -45.995939    -45.995924
   8.31595    -45.995936    -45.995921
   8.32371    -45.995933    -45.995918
   8.33146    -45.995931    -45.995916
   8.33921    -45.995929    -45.995914
   8.34696    -45.995928    -45.995913
   8.35471    -45.995928    -45.995912
   8.36246    -45.995927    -45.995912
   8.36246    -45.995927    -45.995912
   8.37212    -45.995927    -45.995912
   8.38177    -45.995926    -45.995911
   8.39142    -45.995924    -45.995909
   8.40108    -45.995922    -45.995907
   8.41073    -45.995920    -45.995905
   8.42038    -45.995917    -45.995902
